Sample	posterior	ESS(posterior)	likelihood	prior
0	-801.2507228585538	N	-790.8403358225719	-10.410387035981923
1000	-533.9914270422548	2.0	-533.0170836870543	-0.974343355200503
2000	-534.3251350901589	3.0	-533.2373435937698	-1.0877914963891389
3000	-536.0309368805331	4.0	-536.081713247746	0.05077636721295864
4000	-534.759430394836	5.0	-532.1871693354516	-2.5722610593844584
5000	-535.2320647611408	6.0	-533.3390102980001	-1.8930544631407367
6000	-532.7537669611565	7.0	-532.9702587844631	0.2164918233065447
7000	-532.8925343589476	8.0	-531.4968997389852	-1.3956346199624274
8000	-534.8205468829874	9.0	-533.4931038699048	-1.327443013082659
9000	-532.8949180768127	7.6	-531.2120878012535	-1.6828302755592954
10000	-534.1754569365344	8.4	-533.1522933097166	-1.0231636268178201
11000	-532.7792297235228	7.2	-531.7619120458444	-1.0173176776783972
12000	-532.3348536521734	7.0	-531.8643658963479	-0.47048775582554114
13000	-535.3657837832355	11.9	-535.2619075549878	-0.10387622824773457
14000	-533.2776160745476	12.5	-532.1339739803589	-1.1436420941887766
15000	-534.0923959865667	13.3	-532.812245147758	-1.2801508388087566
16000	-534.2539829333098	14.4	-533.1857263473607	-1.06825658594905
17000	-533.1569060654564	16.0	-532.5612185131325	-0.5956875523238865
18000	-537.1474602436655	18.0	-536.6709810671591	-0.4764791765063823
19000	-541.4252595152855	12.7	-535.6983869120719	-5.726872603213524
20000	-538.3588170623046	8.5	-532.879412445507	-5.47940461679767
21000	-533.584227219628	10.3	-531.6061789183475	-1.97804830128055
22000	-533.0096623661988	11.6	-531.7334388992357	-1.2762234669630805
23000	-534.5524534914024	12.2	-532.94290017242	-1.609553318982448
24000	-533.5997590027382	12.5	-532.1592636018929	-1.4404954008452675
25000	-533.1196864557177	13.0	-532.716784920892	-0.4029015348257099
26000	-535.9283666608094	14.2	-535.1065242716443	-0.8218423891651105
27000	-533.396306830269	14.9	-532.2527669542212	-1.1435398760478948
28000	-536.0293251485074	15.5	-534.4385620689425	-1.5907630795648808
29000	-532.705855143449	15.8	-532.0626129884575	-0.6432421549913925
30000	-534.6580554788203	16.4	-534.5772313749131	-0.08082410390720529
31000	-534.5825798538613	17.0	-532.8836446607404	-1.6989351931208283
32000	-534.014511206807	17.6	-533.7095461810012	-0.304965025805783
