#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-801.2507228585538	-790.8403358225719	-10.410387035981923	-790.8403358225719	3.5338720092411458	-10.410387035981923	1.0
1000	-533.9914270422548	-533.0170836870543	-0.974343355200503	-533.0170836870543	0.7278439004115467	-0.974343355200503	2.2075529632131694
2000	-534.3251350901589	-533.2373435937698	-1.0877914963891389	-533.2373435937698	0.6010373406487697	-1.0877914963891389	5.276872318458154
3000	-536.0309368805331	-536.081713247746	0.05077636721295864	-536.081713247746	0.522943717391443	0.05077636721295864	5.496213409906992
4000	-534.759430394836	-532.1871693354516	-2.5722610593844584	-532.1871693354516	0.750574415309905	-2.5722610593844584	5.142437142205484
5000	-535.2320647611408	-533.3390102980001	-1.8930544631407367	-533.3390102980001	0.8682923679933778	-1.8930544631407367	2.6417924441699294
6000	-532.7537669611565	-532.9702587844631	0.2164918233065447	-532.9702587844631	0.6279775374749549	0.2164918233065447	2.7875830401583914
7000	-532.8925343589476	-531.4968997389852	-1.3956346199624274	-531.4968997389852	0.8689293182743518	-1.3956346199624274	2.0419884469104916
8000	-534.8205468829874	-533.4931038699048	-1.327443013082659	-533.4931038699048	0.8266245904160122	-1.327443013082659	3.2148133476695366
9000	-532.8949180768127	-531.2120878012535	-1.6828302755592954	-531.2120878012535	0.8965363624623267	-1.6828302755592954	2.985671303775196
10000	-534.1754569365344	-533.1522933097166	-1.0231636268178201	-533.1522933097166	0.7605242522361411	-1.0231636268178201	2.4848540796799083
11000	-532.7792297235228	-531.7619120458444	-1.0173176776783972	-531.7619120458444	0.8116765542100609	-1.0173176776783972	2.812837455741868
12000	-532.3348536521734	-531.8643658963479	-0.47048775582554114	-531.8643658963479	0.6942011280311989	-0.47048775582554114	3.3250733798917125
13000	-535.3657837832355	-535.2619075549878	-0.10387622824773457	-535.2619075549878	0.6450733300676363	-0.10387622824773457	2.3468849166098122
14000	-533.2776160745476	-532.1339739803589	-1.1436420941887766	-532.1339739803589	0.7637415295972809	-1.1436420941887766	3.1403786748379017
