#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment" name="distribution" x="@birthRate.t:true_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-2073.6307401642175	-2065.8358712862596	-7.794868877958134	-2065.8358712862596	2.4493758557856564	-7.794868877958134	1.0
1000	-1952.9755882934455	-1949.367747549533	-3.6078407439124676	-1949.367747549533	0.7272014575610288	-3.6078407439124676	1.624222510126025
2000	-1952.1097778677592	-1948.5727263852725	-3.5370514824867536	-1948.5727263852725	0.7790334257426618	-3.5370514824867536	1.4863556054553655
3000	-1954.2521436070635	-1949.1691048732241	-5.083038733839431	-1949.1691048732241	0.76336224685552	-5.083038733839431	2.523774358223627
4000	-1955.581009732736	-1948.1746404671758	-7.406369265560165	-1948.1746404671758	0.895827979374282	-7.406369265560165	3.333391805580038
5000	-1953.2860204860042	-1948.5832290691433	-4.702791416860921	-1948.5832290691433	0.8646309393405849	-4.702791416860921	0.6878184988192231
6000	-1956.86864155127	-1952.436414576668	-4.432226974601958	-1952.436414576668	0.8899274851594099	-4.432226974601958	1.0251092257252512
7000	-1951.3558669138724	-1947.2580574513015	-4.097809462570899	-1947.2580574513015	0.801040133576689	-4.097809462570899	1.974468550593267
8000	-1953.103947157658	-1948.2505186720994	-4.853428485558664	-1948.2505186720994	0.851918388270509	-4.853428485558664	2.5471515153450377
9000	-1959.6154989470865	-1954.9076458630534	-4.707853084033159	-1954.9076458630534	0.9428021763478295	-4.707853084033159	1.633792791084274
10000	-1952.7625374984314	-1947.9003038868693	-4.862233611562131	-1947.9003038868693	0.8604944816339033	-4.862233611562131	2.03828452733737
11000	-1954.158937228564	-1949.8206279024741	-4.338309326089856	-1949.8206279024741	0.7888627208488587	-4.338309326089856	2.4601189842320217
12000	-1957.4849680052691	-1952.8821414300357	-4.602826575233412	-1952.8821414300357	0.7502803395172294	-4.602826575233412	2.953996367974928
13000	-1953.0018946170414	-1949.3510576061947	-3.650837010846824	-1949.3510576061947	0.7647385606837765	-3.650837010846824	1.0207469740004016
14000	-1952.5209856020663	-1948.391902849475	-4.129082752591232	-1948.391902849475	0.8348668034392006	-4.129082752591232	1.9384825252461575
15000	-1956.2863261029804	-1952.054268477645	-4.232057625335327	-1952.054268477645	0.7928020665589735	-4.232057625335327	1.955443236029968
16000	-1953.0529820726877	-1949.5233223099299	-3.529659762757775	-1949.5233223099299	0.7950697621953126	-3.529659762757775	1.2350583024499935
17000	-1952.6362479357517	-1948.8912223144787	-3.745025621273115	-1948.8912223144787	0.846028000157	-3.745025621273115	1.1909275786364764
18000	-1954.2737925512088	-1949.9820469129697	-4.291745638238981	-1949.9820469129697	0.9403137883528527	-4.291745638238981	1.4006830156045094
19000	-1954.3162750886347	-1948.8949220693303	-5.421353019304464	-1948.8949220693303	0.8277291968389443	-5.421353019304464	2.604500669175883
20000	-1954.0147009139482	-1949.5340108716457	-4.480690042302594	-1949.5340108716457	0.7967387079577192	-4.480690042302594	2.459556529137975
21000	-1953.5004773247836	-1949.4289815083355	-4.071495816447983	-1949.4289815083355	0.8069956932920981	-4.071495816447983	0.9074236342671392
22000	-1953.4135312750223	-1948.4979554141412	-4.915575860881006	-1948.4979554141412	0.8711592780836784	-4.915575860881006	2.2183550114989528
23000	-1954.3885343877216	-1950.527882680801	-3.860651706920658	-1950.527882680801	0.8865097150380351	-3.860651706920658	1.5305941598723032
24000	-1964.197346442348	-1957.3873906346726	-6.809955807675447	-1957.3873906346726	1.0288640036621466	-6.809955807675447	2.6879416122425344
25000	-1951.5667751592403	-1947.9112599616683	-3.6555151975718485	-1947.9112599616683	0.7631473562959493	-3.6555151975718485	1.034338121497227
26000	-1953.163696005383	-1948.8794132175015	-4.284282787881431	-1948.8794132175015	0.8853068374086703	-4.284282787881431	1.93487555592484
27000	-1951.717085542671	-1947.5359012488475	-4.181184293823537	-1947.5359012488475	0.8631377502914256	-4.181184293823537	1.7868514628571512
28000	-1952.2948884518632	-1948.5385740087918	-3.7563144430714606	-1948.5385740087918	0.7893443344609634	-3.7563144430714606	0.9879707199777411
29000	-1952.4320761815422	-1948.434699390967	-3.997376790575324	-1948.434699390967	0.7560986746881543	-3.997376790575324	2.210729669438831
30000	-1952.687175415426	-1948.5783029281774	-4.108872487248628	-1948.5783029281774	0.9229606789043525	-4.108872487248628	1.5083197571829532
31000	-1951.5002308862734	-1947.7661614964268	-3.734069389846692	-1947.7661614964268	0.8170222427587805	-3.734069389846692	1.4144609900386962
32000	-1952.1417446114845	-1947.4431648289772	-4.6985797825071876	-1947.4431648289772	0.8466917005152104	-4.6985797825071876	2.0490255659739782
33000	-1955.7323666478371	-1951.7374535702372	-3.994913077599869	-1951.7374535702372	0.8321715633522334	-3.994913077599869	0.8320997879728217
34000	-1951.446625077528	-1947.5235163663986	-3.923108711129458	-1947.5235163663986	0.8441862606880536	-3.923108711129458	0.9525854014584512
35000	-1956.3382343612525	-1952.5519398654026	-3.78629449584984	-1952.5519398654026	0.8662342700917539	-3.78629449584984	1.1035368136341444
36000	-1954.4188988785086	-1948.9109208158163	-5.507978062692146	-1948.9109208158163	0.9090434456142967	-5.507978062692146	2.2483106746550177
37000	-1952.7580640328802	-1948.6763776040611	-4.0816864288189025	-1948.6763776040611	0.7530627494367719	-4.0816864288189025	0.8268241433470073
38000	-1954.0786238633168	-1949.2432812369016	-4.835342626415249	-1949.2432812369016	0.9006234294230109	-4.835342626415249	1.942985681137615
39000	-1951.648154336389	-1947.808983213702	-3.839171122687059	-1947.808983213702	0.7807412241213483	-3.839171122687059	1.0372075398741205
40000	-1956.7305713431235	-1952.6329222681206	-4.097649075002806	-1952.6329222681206	0.8579585207025009	-4.097649075002806	1.8516596063286275
41000	-1955.6619853194622	-1951.1275020893597	-4.534483230102484	-1951.1275020893597	0.9708820641254516	-4.534483230102484	1.6134249276560924
42000	-1954.5627392890176	-1949.2514533945123	-5.311285894505277	-1949.2514533945123	0.9501274774195382	-5.311285894505277	2.1228738262170297
43000	-1955.93499153899	-1951.483859579332	-4.451131959658182	-1951.483859579332	1.0645153861729435	-4.451131959658182	1.6325024690953278
44000	-1954.5049193613484	-1949.9467733904207	-4.5581459709275345	-1949.9467733904207	0.8168028789196181	-4.5581459709275345	2.0541940366532376
45000	-1954.5493200935236	-1948.8885766940684	-5.660743399455216	-1948.8885766940684	0.8168965775062337	-5.660743399455216	2.702646744386302
46000	-1955.837732536804	-1950.7101693382685	-5.127563198535517	-1950.7101693382685	0.9754494866763576	-5.127563198535517	1.7519551325504004
47000	-1955.235256937019	-1950.4212444521218	-4.814012484897093	-1950.4212444521218	0.8193835016480572	-4.814012484897093	0.6281897042257235
48000	-1951.5527638912977	-1947.514425767093	-4.038338124204708	-1947.514425767093	0.7820703258275592	-4.038338124204708	1.9414486314328119
49000	-1956.80586365402	-1953.54437760307	-3.261486050949889	-1953.54437760307	0.8369262913713377	-3.261486050949889	1.4126222836467988
50000	-1952.8366882614046	-1948.2379335552687	-4.598754706135789	-1948.2379335552687	0.8321180982683677	-4.598754706135789	2.1437809946534734
51000	-1954.4250758821213	-1950.695794374885	-3.729281507236146	-1950.695794374885	0.8295852071634052	-3.729281507236146	1.4253738725113625
52000	-1953.2301416363232	-1949.4556194420074	-3.7745221943158382	-1949.4556194420074	0.8987057713274421	-3.7745221943158382	1.0374440949043167
53000	-1952.0205372696812	-1947.7838855247307	-4.236651744950445	-1947.7838855247307	0.8114848396712638	-4.236651744950445	0.7456423760965569
54000	-1954.4158862435504	-1951.0020483108553	-3.413837932695124	-1951.0020483108553	0.7754546073901765	-3.413837932695124	1.717064474062554
55000	-1952.7810002779422	-1948.7650332467322	-4.015967031209997	-1948.7650332467322	0.8774371489637317	-4.015967031209997	1.1025152000591318
56000	-1953.800888867475	-1949.2644921978817	-4.536396669593232	-1949.2644921978817	0.8243970648497914	-4.536396669593232	2.2458640502542604
57000	-1956.9114540236512	-1953.147861958343	-3.7635920653083437	-1953.147861958343	0.7833200806047258	-3.7635920653083437	0.9956795114912554
58000	-1956.6532514376765	-1951.5227534080075	-5.13049802966904	-1951.5227534080075	0.7534570502112404	-5.13049802966904	2.591997427747773
59000	-1954.502753973398	-1949.9687310595816	-4.534022913816337	-1949.9687310595816	1.0946340854441745	-4.534022913816337	1.0405632826923017
60000	-1956.088663782823	-1951.310424485902	-4.778239296920832	-1951.310424485902	1.031966974113368	-4.778239296920832	0.7992502863929251
61000	-1951.4668988550836	-1947.7653379717858	-3.701560883297873	-1947.7653379717858	0.832233934974717	-3.701560883297873	1.2392371312902424
62000	-1955.0258182398707	-1951.5950806007559	-3.430737639114829	-1951.5950806007559	0.7849716832201805	-3.430737639114829	1.158816683343319
63000	-1954.1575601571244	-1950.1112651888752	-4.046294968249285	-1950.1112651888752	0.8228103559663498	-4.046294968249285	1.92842564775136
64000	-1951.0964117856404	-1947.2995851103124	-3.796826675327954	-1947.2995851103124	0.8629334687459624	-3.796826675327954	1.2529619068504596
65000	-1952.0074836274475	-1948.1993373066973	-3.808146320750226	-1948.1993373066973	0.8317985367622875	-3.808146320750226	1.0594530423920605
66000	-1957.5099904305498	-1953.3879698341505	-4.122020596399395	-1953.3879698341505	0.9289869284260487	-4.122020596399395	1.425585889551259
67000	-1953.1564622993865	-1949.1718754611481	-3.984586838238234	-1949.1718754611481	0.8853765597390725	-3.984586838238234	1.150114932684563
68000	-1951.1364743926447	-1947.5565896610938	-3.5798847315508615	-1947.5565896610938	0.7696108341151707	-3.5798847315508615	1.1920372836912516
69000	-1954.4013069219338	-1951.1579968127685	-3.2433101091652485	-1951.1579968127685	0.7198974426753124	-3.2433101091652485	1.6444298360976788
